SNP,beta,PPI,DRUG
10419,-0.687810024,SSH1_PIS1,Trifluoperazine
10438,-0.925216295,SSH1_PIS1,Trifluoperazine
51,-0.669136259,SSH1_PIS1,noDrug
10419,-0.703476696,SSH1_PIS1,noDrug
11900,-0.635287195,TPO1_MID2,5-FC
11912,-0.593205405,TPO1_MID2,5-FC
11920,-0.602117975,TPO1_MID2,5-FC
11928,-0.613146285,TPO1_MID2,5-FC
11931,-1.259463466,TPO1_MID2,5-FC
11932,-0.592470373,TPO1_MID2,5-FC
11946,-0.588641821,TPO1_MID2,5-FC
3134,0.62246894,TPO1_MID2,Fluconazole
5741,-0.588021956,TPO1_MID2,Fluconazole
4528,-0.366524045,TPO1_MID2,Metformin
8187,-0.357779211,TPO1_MID2,Metformin
8778,0.433371949,TPO1_MID2,Metformin
10480,-0.387962954,TPO1_MID2,Metformin
11897,-0.645601573,TPO1_MID2,Trifluoperazine
11912,-0.577614784,TPO1_MID2,Trifluoperazine
11921,-0.556396355,TPO1_MID2,Trifluoperazine
11928,-0.608657156,TPO1_MID2,Trifluoperazine
11931,-1.214583448,TPO1_MID2,Trifluoperazine
11940,-0.558630067,TPO1_MID2,Trifluoperazine
11900,-0.624436617,TPO1_MID2,noDrug
11912,-0.5825046,TPO1_MID2,noDrug
11924,-0.596075046,TPO1_MID2,noDrug
11928,-0.624762791,TPO1_MID2,noDrug
11931,-1.289810944,TPO1_MID2,noDrug
11940,-0.608188199,TPO1_MID2,noDrug
11946,-0.610965825,TPO1_MID2,noDrug
8778,0.616759692,TPO1_TCB2,5-FC
10480,-0.618155629,TPO1_TCB2,5-FC
11897,-0.666465469,TPO1_TCB2,5-FC
11920,-0.655428592,TPO1_TCB2,5-FC
11928,-0.691221067,TPO1_TCB2,5-FC
11931,-1.376414887,TPO1_TCB2,5-FC
11940,-0.624412506,TPO1_TCB2,5-FC
11944,-0.611518096,TPO1_TCB2,5-FC
649,0.811742581,TPO1_TCB2,Fluconazole
981,0.703042349,TPO1_TCB2,Fluconazole
11928,-0.638358161,TPO1_TCB2,Fluconazole
11931,-1.310326227,TPO1_TCB2,Fluconazole
5741,-0.547219737,TPO1_TCB2,Metformin
10480,-0.515887817,TPO1_TCB2,Metformin
11921,-0.389201022,TPO1_TCB2,Trifluoperazine
11928,-0.396989332,TPO1_TCB2,Trifluoperazine
11931,-0.808166751,TPO1_TCB2,Trifluoperazine
10480,-0.523220859,TPO1_TCB2,noDrug
11897,-0.562329996,TPO1_TCB2,noDrug
11912,-0.54050099,TPO1_TCB2,noDrug
11921,-0.557871461,TPO1_TCB2,noDrug
11928,-0.57696478,TPO1_TCB2,noDrug
11931,-1.08977166,TPO1_TCB2,noDrug
11940,-0.550951427,TPO1_TCB2,noDrug
11944,-0.536134255,TPO1_TCB2,noDrug
10419,-0.570956522,TPO1_TPO2,5-FC
10438,-0.79109295,TPO1_TPO2,5-FC
10480,-0.466349315,TPO1_TPO2,5-FC
11905,-0.509225171,TPO1_TPO2,5-FC
11928,-0.485215571,TPO1_TPO2,5-FC
11931,-1.044814359,TPO1_TPO2,5-FC
11932,-0.499536139,TPO1_TPO2,5-FC
648,0.657674079,TPO1_TPO2,Fluconazole
977,0.678849992,TPO1_TPO2,Fluconazole
1784,1.245094565,TPO1_TPO2,Fluconazole
3134,0.644181026,TPO1_TPO2,Fluconazole
3910,2.324806292,TPO1_TPO2,Fluconazole
4528,-0.629741725,TPO1_TPO2,Fluconazole
11897,-0.427214085,TPO1_TPO2,Metformin
22,3.79676472,TPO1_TPO2,Trifluoperazine
10456,-1.762203458,TPO1_TPO2,Trifluoperazine
10480,-0.589171467,TPO1_TPO2,Trifluoperazine
11897,-0.661553212,TPO1_TPO2,Trifluoperazine
11912,-0.589532773,TPO1_TPO2,Trifluoperazine
11921,-0.613611183,TPO1_TPO2,Trifluoperazine
11928,-0.633761834,TPO1_TPO2,Trifluoperazine
11931,-1.338524059,TPO1_TPO2,Trifluoperazine
11940,-0.608016981,TPO1_TPO2,Trifluoperazine
11946,-0.613964737,TPO1_TPO2,Trifluoperazine
22,4.206123235,TPO1_TPO2,noDrug
274,0.634672741,TPO1_TPO2,noDrug
648,0.670000755,TPO1_TPO2,noDrug
5741,-0.65830148,TPO1_TPO2,noDrug
10480,-0.681051057,TPO1_TPO2,noDrug
11910,-0.642399685,TPO1_TPO2,noDrug
11921,-0.65911489,TPO1_TPO2,noDrug
11928,-0.674516237,TPO1_TPO2,noDrug
11931,-1.470430794,TPO1_TPO2,noDrug
11932,-0.686974438,TPO1_TPO2,noDrug
11946,-0.674409603,TPO1_TPO2,noDrug
